PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,male,22,1,0,7.25,C80,S
2,1,1,female,38,1,0,71.2833,C85,C
3,1,3,female,26,0,0,7.925,B29,S
4,1,1,female,35,1,0,53.1,C123,S
5,0,3,male,35,0,0,8.05,D10,S
7,0,1,male,54,0,0,51.8625,E46,S
11,1,3,female,4,1,1,16.7,G6,S
12,1,1,female,58,0,0,26.55,C103,S
22,1,2,male,34,0,0,13,D56,S
24,1,1,male,28,0,0,35.5,A6,S
28,0,1,male,19,3,2,263,C23 ,S
30,0,3,male,32,0,0,7.8958,C25,S
31,0,1,male,40,0,0,27.7208,C27,C
32,1,1,female,20,1,0,146.5208,B78,C
53,1,1,female,49,1,0,76.7292,D33,C
55,0,1,male,65,0,1,61.9792,B30,C
56,1,1,male,28.5,0,0,35.5,C52,S
62,1,1,female,38,0,0,80,B28,C
63,0,1,male,45,1,0,83.475,C83,S
67,1,2,female,29,0,0,10.5,F33,S
76,0,3,male,25,0,0,7.65,G73,S
89,1,1,female,23,3,2,263,C23,S
93,0,1,male,46,1,0,61.175,E31,S
97,0,1,male,71,0,0,34.6542,A5,C
98,1,1,male,23,0,1,63.3583,D10,C
99,1,2,female,34,0,1,23,D12,S
103,0,1,male,21,0,1,77.2875,D26,S
111,0,1,male,47,0,0,52,C110,S
119,0,1,male,24,0,1,247.5208,B58 ,C
120,0,3,female,2,4,2,31.275,B60,S
124,1,2,female,32.5,0,0,13,E101,S
125,0,1,male,54,0,1,77.2875,D26,S
129,1,3,female,,1,1,22.3583,E69,C
137,1,1,female,19,0,2,26.2833,D47,S
138,0,1,male,37,1,0,53.1,C123,S
140,0,1,male,24,0,0,79.2,B86,C
149,0,2,male,36.5,0,2,26,F2,S
152,1,1,female,22,1,0,66.6,C2,S
167,1,1,female,34,0,1,55,E33,S
171,0,1,male,61,0,0,33.5,B19,S
175,0,1,male,56,0,0,30.6958,A7,C
178,0,1,female,50,0,0,28.7125,C49,C
184,1,2,male,1,2,1,39,F4,S
186,0,1,male,5,0,0,50,A32,S
194,1,2,male,3,1,1,26,F2,S
195,1,1,female,44,0,0,27.7208,B4,C
196,1,1,female,58,0,0,146.5208,B80,C
206,0,3,female,2,0,1,10.4625,G6,S
210,1,1,male,40,0,0,31,A31,C
216,1,1,female,31,1,0,113.275,D36,C
219,1,1,female,32,0,0,76.2917,D15,C
225,1,1,male,38,1,0,90,C93,S
231,1,1,female,35,1,0,83.475,C83,S
246,0,1,male,44,2,0,90,C78,Q
249,1,1,male,37,1,1,52.5542,D35,S
252,0,3,female,29,1,1,10.4625,G6,S
253,0,1,male,62,0,0,26.55,C87,S
258,1,1,female,30,0,0,86.5,B77,S
263,0,1,male,52,1,1,79.65,E67,S
264,0,1,male,40,0,0,0,B94,S
269,1,1,female,58,0,1,153.4625,C125,S
270,1,1,female,35,0,0,135.6333,C99,S
274,0,1,male,37,0,1,29.7,C118,C
276,1,1,female,63,1,0,77.9583,D7,S
285,0,1,male,19,0,0,26,A19,S
292,1,1,female,19,1,0,91.0792,B49,C
293,0,2,male,36,0,0,12.875,D,C
295,0,3,male,24,0,0,7.8958,C26,S
298,0,1,female,2,1,2,151.55,C22 ,S
299,1,1,male,23.5,0,0,30.5,C106,S
300,1,1,female,50,0,1,247.5208,B58,C
301,1,3,female,22,0,0,7.75, B60,Q
304,1,2,female,27,0,0,12.35,E101,Q
306,1,1,male,0.92,1,2,151.55,C22,S
308,1,1,female,17,1,0,108.9,C65,C
309,0,2,male,30,1,0,24,C26,C
310,1,1,female,30,0,0,56.9292,E36,C
311,1,1,female,24,0,0,83.1583,C54,C
312,1,1,female,18,2,2,262.375,B57,C
319,1,1,female,31,0,2,164.8667,C7,S
320,1,1,female,40,1,1,134.5,E34,C
326,1,1,female,36,0,0,135.6333,C32,C
328,1,2,female,36,0,0,13,D,S
329,1,3,female,31,1,1,20.525,B59,S
330,1,1,female,16,0,1,57.9792,B18,C
332,0,1,male,45.5,0,0,28.5,C124,S
333,0,1,male,38,0,1,153.4625,C91,S
337,0,1,male,29,1,0,66.6,C2,S
338,1,1,female,41,0,0,134.5,E40,C
340,0,1,male,45,0,0,35.5,T,S
341,1,2,male,2,1,1,26,F2,S
342,1,1,female,24,3,2,263,C23 ,S
346,1,2,female,24,0,0,13,F33,S
347,1,2,female,40,0,0,13,B63,S
348,1,3,female,29,1,0,16.1,B66,S
352,0,1,male,15,0,0,35,C128,S
357,1,1,female,22,0,1,55,E33,S
367,1,1,female,60,1,0,75.25,D37,C
370,1,1,female,24,0,0,69.3,B35,C
371,1,1,male,25,1,0,55.4417,E50,C
378,0,1,male,27,0,2,211.5,C82,C
391,1,1,male,36,1,2,120,B96,S
392,1,3,male,21,0,0,7.7958, B98,S
394,1,1,female,23,1,0,113.275,D36,C
395,1,3,female,24,0,2,16.7,G6,S
413,1,1,female,33,1,0,90,C78,Q
430,1,3,male,32,0,0,8.05,E10,S
431,1,1,male,28,0,0,26.55,C52,S
435,0,1,male,50,1,0,55.9,E44,S
436,1,1,female,14,1,2,120,B96 ,S
438,1,2,female,24,2,3,18.75,B98,S
439,0,1,male,64,1,4,263,C23,S
446,1,1,male,4,0,2,81.8583,A34,S
450,1,1,male,52,0,0,30.5,C104,S
453,0,1,male,30,0,0,27.75,C111,C
454,1,1,male,49,1,0,89.1042,C92,C
457,0,1,male,65,0,0,26.55,E38,S
458,1,1,female,48,1,0,51.8625,D21,S
461,1,1,male,48,0,0,26.55,E12,S
463,0,1,male,47,0,0,38.5,E63,S
474,1,2,female,23,0,0,13.7917,D,C
476,0,1,male,63,0,0,52,A14,S
485,1,1,male,25,1,0,91.0792,B49,C
487,1,1,female,35,1,0,90,C93,S
488,0,1,male,58,0,0,29.7,B37,C
493,0,1,male,55,0,0,30.5,C30,S
497,1,1,female,54,1,0,78.2667,D20,C
499,0,1,female,25,1,2,151.55,C22,S
504,0,3,female,37,0,0,9.5875,C26,S
505,1,1,female,16,0,0,86.5,B79,S
506,0,1,male,18,1,0,108.9,C65,C
513,1,1,male,36,0,0,26.2875,E25,S
516,0,1,male,47,0,0,34.0208,D46,S
517,1,2,female,34,0,0,10.5,F33,S
521,1,1,female,30,0,0,93.5,B73,S
524,1,1,female,44,0,1,57.9792,B18,C
528,0,1,male,28,0,0,221.7792,C95,S
537,0,1,male,45,0,0,26.55,B38,S
